Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DNK,1.146490097,1.3129819857,1.6674334334,0.9245895341,0.977353957,1.0862438268999999,0.9708638168000001,1.0427320920999998,1.2071716395999998,0.796255009,0.9779601007,0.5328292646,0.7130933074,0.9822982578,0.8506981336,,,
DJI,,,,,,,,,,,,,,3.3892917082,,,,
DMA,,,,,,2.8705936388,1.43994701,12.986825587,11.560693642,11.57960253,11.606819005999998,7.2780203785,10.228833621,10.270103727999999,19.139601307,22.137934088,,
DOM,12.720574702,12.812287083,12.673033299,13.465983077,12.603207978,14.082921873,12.548336880999999,14.434427747,21.144145039,24.523642751999997,25.841224135999997,22.812672738000003,22.146560925,24.769921163000003,24.242481156,24.921126749000003,24.989605895,
ECU,,,,,,,,,,18.093903422,15.797232944000001,17.485711571,16.411882954,18.546263216,18.406113326,18.237453160999998,,
EGY,,,,,,,,,0.6587556961,0.44203446890000003,0.7034735623999999,0.38640462840000006,0.8733900056,1.0124701337,1.2444145138,,,
SLV,139.13207885,117.27728152,112.56865995,94.996731085,65.047180776,59.778075368,60.174048827,47.342847213999995,55.853992737,64.639815074,62.440986409,64.663896721,57.319712538999994,51.862853666999996,70.595801619,64.669861568,69.177137309,
GNQ,,,,,,,,,,,,,,20.684646708,,,,
ERI,,,,,,,,,,,,,,17.766473351,,,,
EST,17.074914452,15.073320434000001,12.685399248,14.096520892000001,11.377124877,10.432252732,10.052662745,10.467005346,10.873142967,6.748494010499999,8.3961371825,6.7706419014999994,6.925450135599999,6.2586382246,5.2175377843,5.2194401778,,
ETH,,,,,,,,,,,,,,25.475031165,,,,
FRO,,,,,,,,,,,,,,,,,,
FJI,,,,,,,,,3.058706363,2.8079530999,,,,,,,,
FIN,2.8583723488,2.9852627529,2.7046711226999998,2.1937385654,2.7702467747000004,2.8608044659,3.0085744370999996,2.5397778272,1.9767416197,2.8319575695999997,2.2691121212,2.2787971597,2.4383646625,2.5017239323,2.26526178,2.1996269582,,
