iso3,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86831939212055,7.235198033412581,10.0261792105306,10.6347325992922,26.3745032100275,26.0461298009966,21.4425588041328,22.000786163522,21.036245110821397,20.7719361585578,20.318353365384603,20.4268177083943,20.587669145364803,20.311566765912,26.194875238021897,25.9340244138733,25.671161782044802,26.420452085716896,26.5172934158421,27.200707780588,26.9477259654482,27.895022821125803,26.229552674677898,25.915322063969196,24.670528873107802,24.507516218176104,13.157722308892401,8.35356100776471,8.41006417792511
AFG,0.0460567126299034,0.0535888350504558,0.0737208308323819,0.0741607248298659,0.0861736143685528,0.10128491249779,0.107398880925452,0.123409531952439,0.11514249751082599,0.0865098566374047,0.149651474425259,0.16520832089735998,0.12999559417753,0.13536658754345898,0.15450324056731102,0.167612355743012,0.153557886047794,0.18152216644271998,0.161894231687439,0.167066411474234,0.13178291845827098,0.150614656164027,0.163103934258866,0.20122430455911897,0.2319613460576,0.29395693222969504,0.267771904296961,0.269229595949307,0.24682327129313503,0.233882194583363,0.21064341941885398,0.18336355235879503,0.0961965810608727,0.0850871075160703,0.0758064942125158,0.0686398621540897,0.0624346107290676,0.0566423445298646,0.0527632181252538,0.0407225399194997,0.0372347810411313,0.0378461357038751,0.0473773238699389,0.0504813357583004,0.0384100431744103,0.0517439645638815,0.0624275315344817,0.0838928056625891,0.151720912092499,0.23839854131104898,0.289987629819143,0.406424217113203,0.34514878290355294,0.310341014879365,0.293946407148718
AGO,0.10083533564940199,0.0822037967470503,0.210531477092341,0.20273730345395602,0.213560349319029,0.20589092585307897,0.268941436867758,0.172101693676556,0.28971809111152197,0.48023402043060703,0.608223599046918,0.5645482360961179,0.721245978268245,0.7512398871965079,0.7207763799697701,0.6285689066059229,0.451353518485931,0.46922117648151895,0.6947369474939821,0.6830629479749921,0.640966402195152,0.611135119645444,0.519354626128818,0.5513485741039971,0.520982856139637,0.47190277210483,0.451618882781396,0.544085132259045,0.46350829640270896,0.43729546197189206,0.431743614699926,0.41553083007202,0.41052293186433897,0.44172109794770203,0.288119067989055,0.7870325472424,0.726233460982052,0.496361244979515,0.475815159521396,0.57708291408973,0.581961496322796,0.574316054293958,0.722958874715979,0.500225395509936,1.0018781174790998,0.985736354999963,1.10501902714063,1.20313399963445,1.1850004936477099,1.2344250744671799,1.24409153765549,1.25268084136928,1.3302185671929698,1.25377616969393,1.29030677595566
ALB,1.25819492789657,1.3741860465116298,1.43995596379167,1.1816811441597501,1.11174195966673,1.1660990427345501,1.3330554645866202,1.3637463001081598,1.51955127697956,1.5589675720986997,1.75323990542637,1.9894979233065502,2.51591439803203,2.30389741687392,1.8490066907107903,1.91063363704144,2.01358456245734,2.2758763913610496,2.53062504042839,2.8982085175824905,1.93505831031996,2.69302391440235,2.62485678513424,2.6832399189862,2.69429137362284,2.65801538201043,2.66535622064854,2.41406081518223,2.3315985305199702,2.7832430746143904,1.67810665434977,1.3122126001365302,0.774724910911141,0.7237902919696949,0.6002037077682061,0.654537133005248,0.636625312930768,0.490365059535664,0.560271437384331,0.9601644118685859,0.9781746808946641,1.0533041759403798,1.22954070946998,1.4126971959616001,1.3762127350435502,1.41249821101668,1.30257636722163,1.32233485532238,1.48431113888781,1.4956001993496901,1.57857358391855,1.80371472482914,1.6929083254350001,1.74921107861166,1.97876331208568
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.467335669339009,7.182456635669039,6.91205338948512,6.73605484574634,6.494200424398099,6.6620516836335195,7.06507147296457,7.23971271783233,7.66078388575348,7.97545440422557,8.01928429423459,7.7869500007424906,7.59061514082999,7.31576070618458,7.3586249409789595,7.299871936297821,6.74605212796168,6.519387064002709,6.427809973527941,6.121579863372131,6.12259470212791,5.8674101758869,5.916884030718089,5.901775323742791,5.83290621488897
ARB,0.6457358734851639,0.6874653790001701,0.76357363420586,0.878237689457416,1.0030533461203102,1.17054031568443,1.27817363236919,1.3374435564152198,1.55224195812384,1.79866892679026,1.8103078295338202,2.00372201868707,2.12087456086429,2.40953292626913,2.28589068301436,2.19678272563374,2.58434244603262,2.64876236752389,2.76233313644763,2.86361432676282,3.0928914727289802,2.9302349553398996,2.7231544271453196,2.8165670342489704,2.9813539094216,3.06185035107151,3.28449957232852,3.19780644184875,3.2950427985279305,3.2566742243592595,3.01695884106493,3.23664487293652,3.4154849091429598,3.66944562715241,3.6743582062782902,3.42400952386195,3.32830368134896,3.14553220517912,3.34996718461185,3.3283410584874904,3.70385708074551,3.60795614877388,3.6046127539634503,3.7964674118990804,4.068562414984259,4.1856773062337,4.28571918166964,4.11714754949394,4.40894827346949,4.56201512382597,4.63681343868195,4.55946165497788,4.8377795940011294,4.67492482250445,4.88698751329195
ARE,0.119035252872817,0.10914123576332399,0.16353306337965398,0.17583313354111701,0.13282478140235698,0.146819968369846,0.16045531829774498,5.39992107014743,6.80684126662542,101.05166267860099,65.0169542116889,76.34765074548329,70.8639711880692,77.6193313128446,67.01703707982229,56.6668508720575,62.156926708908,52.74519000631,53.637316458968705,39.289187324054,36.1984916268517,33.6099588732548,31.654786290592604,28.769821377840003,35.854655166151296,36.544810871901205,32.6571350544117,31.100021127642304,29.7269625202665,31.5747539666949,28.4446241369654,29.430225180974304,28.319388608552497,30.3617628692872,31.873892568161,29.249878058374602,16.1706819590678,15.5898448057583,28.968790856294603,26.4241040392659,35.9157642701389,30.706382226280798,24.348796430469697,28.7833160736781,27.8330290495186,25.314486103013703,23.371860433261197,21.9859334934715,22.1954898852343,21.214059538948,18.8085197312558,18.491616813518398,19.2949203837054,18.5592361743048,22.9396063130991
ARG,2.38334297035428,2.45855142553302,2.53844603606137,2.33068505283097,2.55344179743567,2.6564657384029102,2.80689551696705,2.871099658945,2.98177731636121,3.28816119970689,3.4645272361901402,3.6661594164873796,3.65700815412214,3.7541542749942796,3.75336660448062,3.67015070415827,3.7992619822795497,3.7804154905905496,3.79288096280975,4.02981026998763,3.89788833219675,3.6008100283307005,3.5917934186707803,3.59556404239252,3.5821484971647997,3.3292256468772994,3.39465765033634,3.6858833170351297,3.83571434593551,3.6422324543004603,3.4381514122089203,3.5399592188397504,3.6192803577381802,3.4714944852549903,3.55809941158059,3.6741417077038503,3.83019839147142,3.87027000740855,3.87692639244616,4.03058881541224,3.8549919479614,3.5873503165015097,3.3096836879837994,3.5460883239776004,4.094082916822241,4.16812854757591,4.46518602068451,4.414246416624009,4.7182244282458,4.445387802836111,4.607163748034281,4.64437307038597,4.60917985556416,4.498539994907941,4.78150777487432
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6924695677987,0.7599812435402009,0.8241536063187891,1.05997548291326,0.809044886704558,1.03230198695281,1.08169108051084,0.975802049969214,1.12891750073544,1.1611555036619599,1.00317470990231,1.13609087282285,1.2147078034605,1.4600255797111898,1.48127459388089,1.72682804238397,1.91193341078505,1.50966901331398,1.4656178199219498,1.7095018386685699,1.97447948827919,1.89704008580942,1.8987193736581103
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
